iteration,cost,penalty,softConstraintViolations
1,43287,0.125,22
2,41002,0.25,22
3,40317,0.375,14
4,39776,0.5,14
5,40153,0.625,12
6,40840,0.75,8
7,41185,0.875,6
8,40654,1.0,6
9,40603,1.125,6
10,40558,1.25,6
11,40714,1.375,6
12,40785,1.5,6
13,40045,1.625,6
14,39985,1.75,6
15,40005,1.875,6
16,40110,2.0,6
17,40393,2.125,6
18,40183,2.25,6
19,43669,2.375,2
20,44187,2.5,1
21,44232,2.625,1
22,44337,2.75,1
23,44246,2.875,1
24,45576,2.75,0
25,45118,2.625,0
26,44997,2.5,0
27,44980,2.375,0
28,45079,2.25,0
29,45096,2.125,0
30,45237,2.0,0
31,45140,1.875,0
32,45182,1.75,0
33,45230,1.625,0
34,45127,1.5,0
35,45052,1.375,0
36,45111,1.25,0
37,44031,1.375,2
38,40475,1.5,7
39,40835,1.625,6
40,42429,1.75,2
41,42384,1.875,2
42,43066,2.0,1
43,43194,2.125,1
44,43381,2.25,1
45,43509,2.375,1
46,43718,2.5,1
47,43275,2.625,1
48,43107,2.75,1
49,42987,2.875,1
50,43115,3.0,1
51,43253,3.125,1
52,43421,3.25,1
53,43337,3.375,1
54,43209,3.5,1
55,44553,3.375,0
56,44619,3.25,0
57,44508,3.125,0
58,44636,3.0,0
59,44765,2.875,0
60,44681,2.75,0
61,44896,2.625,0
62,43542,2.75,1
63,43495,2.875,1
64,43303,3.0,1
65,43423,3.125,1
66,43564,3.25,1
67,43444,3.375,1
68,44532,3.25,0
69,44600,3.125,0
70,44443,3.0,0
71,44529,2.875,0
72,44438,2.75,0
73,44384,2.625,0
74,44443,2.5,0
75,44695,2.375,0
76,44727,2.25,0
77,44812,2.125,0
78,44710,2.0,0
79,43254,2.125,1
80,43279,2.25,1
81,43471,2.375,1
82,43382,2.5,1
83,43473,2.625,1
84,43345,2.75,1
85,43552,2.875,1
86,43651,3.0,1
87,43562,3.125,1
88,43480,3.25,1
89,43578,3.375,1
90,43397,3.5,1
91,44876,3.375,0
92,44764,3.25,0
93,44648,3.125,0
94,44686,3.0,0
95,44764,2.875,0
96,44726,2.75,0
97,44746,2.625,0
98,43658,2.75,1
99,42674,2.875,2
100,42460,3.0,2
101,42123,3.125,2
102,41878,3.25,2
103,43274,3.375,1
104,44214,3.25,0
105,44330,3.125,0
106,44479,3.0,0
107,44363,2.875,0
108,44469,2.75,0
109,44585,2.625,0
110,44734,2.5,0
111,44618,2.375,0
112,43678,2.5,1
113,42266,2.625,2
114,42374,2.75,2
115,42378,2.875,2
116,42447,3.0,2
117,42359,3.125,2
118,43755,3.25,1
119,44695,3.125,0
120,44753,3.0,0
121,44684,2.875,0
122,44800,2.75,0
123,44518,2.625,0
124,44587,2.5,0
125,44569,2.375,0
126,42149,2.5,2
127,42122,2.625,2
128,42151,2.75,2
129,42178,2.875,2
130,44598,2.75,0
131,44715,2.625,0
132,44667,2.5,0
133,44713,2.375,0
134,43773,2.5,1
135,43727,2.625,1
136,43578,2.75,1
137,42212,2.875,2
138,42281,3.0,2
139,42371,3.125,2
140,42347,3.25,2
141,43826,3.375,1
142,45178,3.25,0
143,44775,3.125,0
144,44525,3.0,0
145,44510,2.875,0
146,44535,2.75,0
147,44520,2.625,0
148,44597,2.5,0
149,44594,2.375,0
150,44579,2.25,0
151,44580,2.125,0
152,44595,2.0,0
153,44598,1.875,0
154,44613,1.75,0
155,44612,1.625,0
156,44781,1.5,0
157,44766,1.375,0
158,44123,1.5,1
159,43782,1.625,1
160,43758,1.75,1
161,43822,1.875,1
162,43767,2.0,1
163,43725,2.125,1
164,42785,2.25,2
165,42756,2.375,2
166,43696,2.5,1
167,43669,2.625,1
168,43681,2.75,1
169,43742,2.875,1
170,43832,3.0,1
171,43771,3.125,1
172,43698,3.25,1
173,43847,3.375,1
174,43826,3.5,1
175,43802,3.625,1
176,43902,3.75,1
177,44038,3.875,1
178,43899,4.0,1
179,43809,4.125,1
180,43870,4.25,1
181,45163,4.125,0
182,44799,4.0,0
183,44784,3.875,0
184,44760,3.75,0
185,44767,3.625,0
186,44752,3.5,0
187,44881,3.375,0
188,44478,3.25,0
189,44485,3.125,0
190,44483,3.0,0
191,44383,2.875,0
192,44250,2.75,0
193,44265,2.625,0
194,44304,2.5,0
195,44297,2.375,0
196,44600,2.25,0
197,44553,2.125,0
198,44555,2.0,0
199,44548,1.875,0
200,44625,1.75,0
201,44492,1.625,0
202,44499,1.5,0
203,43778,1.625,1
204,43710,1.75,1
205,43673,1.875,1
206,43711,2.0,1
207,43756,2.125,1
208,43718,2.25,1
209,43740,2.375,1
210,43777,2.5,1
211,44578,2.375,0
212,44490,2.25,0
213,44469,2.125,0
214,44557,2.0,0
215,44656,1.875,0
216,44647,1.75,0
217,44514,1.625,0
218,44398,1.5,0
219,44589,1.375,0
220,43916,1.5,1
221,43697,1.625,1
222,43925,1.75,1
223,44711,1.625,0
224,44611,1.5,0
225,44636,1.375,0
226,44636,1.25,0
227,44694,1.125,0
228,44028,1.25,1
229,44122,1.375,1
230,44137,1.5,1
231,44127,1.625,1
232,43841,1.75,1
233,44037,1.875,1
234,44662,1.75,0
235,44736,1.625,0
236,44742,1.5,0
237,44632,1.375,0
238,44094,1.25,0
239,44173,1.125,0
240,44240,1.0,0
241,43604,1.125,1
242,43604,1.25,1
243,44190,1.125,0
244,43627,1.0,0
245,43599,0.875,0
246,43635,0.75,0
247,43673,0.625,0
248,42738,0.75,4
249,42595,0.875,4
250,42565,1.0,4
251,42333,1.125,4
252,42333,1.25,4
253,42347,1.375,4
254,42216,1.5,4
255,41969,1.625,4
256,41969,1.75,4
257,42078,1.875,4
258,42078,2.0,4
259,44458,2.125,1
260,44234,2.25,1
261,44073,2.375,1
262,44073,2.5,1
263,44234,2.625,1
264,43147,2.75,2
265,42831,2.875,2
266,42735,3.0,2
267,45269,2.875,0
268,45267,2.75,0
269,45219,2.625,0
270,45277,2.5,0
271,44944,2.375,0
272,43736,2.5,1
273,43398,2.625,1
274,42522,2.75,1
275,42226,2.875,1
276,42249,3.0,1
277,42379,3.125,1
278,42374,3.25,1
279,42535,3.375,1
280,42423,3.5,1
281,42400,3.625,1
282,42430,3.75,1
283,42183,3.875,1
284,41960,4.0,1
285,41965,4.125,1
286,43683,4.0,0
287,43678,3.875,0
288,43802,3.75,0
289,42092,3.875,1
290,42087,4.0,1
291,43797,3.875,0
292,43922,3.75,0
293,42211,3.875,1
294,42307,4.0,1
295,44026,3.875,0
296,43902,3.75,0
297,44046,3.625,0
298,42335,3.75,1
299,42483,3.875,1
300,42346,4.0,1
301,42145,4.125,1
302,42281,4.25,1
303,42399,4.375,1
304,42389,4.5,1
305,42402,4.625,1
306,44355,4.5,0
307,44149,4.375,0
308,43925,4.25,0
309,43930,4.125,0
310,43910,4.0,0
311,42192,4.125,1
312,42212,4.25,1
313,42207,4.375,1
314,42440,4.5,1
315,44150,4.375,0
316,44145,4.25,0
317,44053,4.125,0
318,42343,4.25,1
319,42425,4.375,1
320,44135,4.25,0
321,44194,4.125,0
322,42476,4.25,1
323,42600,4.375,1
324,42228,4.5,1
325,44040,4.375,0
326,43859,4.25,0
327,43836,4.125,0
328,43859,4.0,0
329,43864,3.875,0
330,43955,3.75,0
331,43842,3.625,0
332,43656,3.5,0
333,43407,3.375,0
334,43430,3.25,0
335,43537,3.125,0
336,43514,3.0,0
337,43652,2.875,0
338,43675,2.75,0
339,43692,2.625,0
340,43575,2.5,0
341,43517,2.375,0
342,43478,2.25,0
343,43536,2.125,0
344,43635,2.0,0
345,43694,1.875,0
346,43751,1.75,0
347,43764,1.625,0
348,43741,1.5,0
349,43207,1.625,1
350,42873,1.75,1
351,41105,1.875,3
352,41639,2.0,2
353,41662,2.125,2
354,41751,2.25,2
355,41650,2.375,2
356,42405,2.5,1
357,42392,2.625,1
358,42631,2.75,1
359,42639,2.875,1
360,42728,3.0,1
361,42733,3.125,1
362,42850,3.25,1
363,42691,3.375,1
364,42678,3.5,1
365,42917,3.625,1
366,42925,3.75,1
367,42845,3.875,1
368,42867,4.0,1
369,42922,4.125,1
370,42946,4.25,1
371,42707,4.375,1
372,42676,4.5,1
373,42676,4.625,1
374,42685,4.75,1
375,42685,4.875,1
376,42689,5.0,1
377,44821,4.875,0
378,44600,4.75,0
379,44212,4.625,0
380,44036,4.5,0
381,43884,4.375,0
382,43731,4.25,0
383,43776,4.125,0
384,43929,4.0,0
385,44091,3.875,0
386,43975,3.75,0
387,43920,3.625,0
388,44018,3.5,0
389,43493,3.375,0
390,43218,3.25,0
391,43191,3.125,0
392,43357,3.0,0
393,43371,2.875,0
394,43609,2.75,0
395,43585,2.625,0
396,43466,2.5,0
397,43991,2.375,0
398,43942,2.25,0
399,43969,2.125,0
400,44122,2.0,0
401,44108,1.875,0
402,44110,1.75,0
403,44134,1.625,0
404,43772,1.75,1
405,43247,1.875,1
406,43100,2.0,1
407,43086,2.125,1
408,43985,2.0,0
409,43809,1.875,0
410,43632,1.75,0
411,43805,1.625,0
412,43823,1.5,0
413,43999,1.375,0
414,44042,1.25,0
415,44018,1.125,0
416,43223,1.25,1
417,43550,1.375,1
418,43352,1.5,1
419,43297,1.625,1
420,43171,1.75,1
421,41766,1.875,3
422,42128,2.0,2
423,41906,2.125,2
424,41897,2.25,2
425,43710,2.125,0
426,43719,2.0,0
427,43819,1.875,0
428,42006,2.0,2
429,41984,2.125,2
430,43797,2.0,0
431,44042,1.875,0
432,42233,2.0,2
433,42110,2.125,2
434,42023,2.25,2
435,42005,2.375,2
436,42029,2.5,2
437,41944,2.625,2
438,42685,2.75,1
439,42676,2.875,1
440,42676,3.0,1
441,42392,3.125,1
442,42405,3.25,1
443,42639,3.375,1
444,42631,3.5,1
445,42879,3.625,1
446,42728,3.75,1
447,42733,3.875,1
448,42850,4.0,1
449,42691,4.125,1
450,42678,4.25,1
451,44468,4.125,0
452,44192,4.0,0
453,44245,3.875,0
454,44479,3.75,0
455,44431,3.625,0
456,44707,3.5,0
457,42917,3.625,1
458,42925,3.75,1
459,42845,3.875,1
460,42867,4.0,1
461,42922,4.125,1
462,42946,4.25,1
463,42707,4.375,1
464,42689,4.5,1
465,42685,4.625,1
466,44821,4.5,0
467,44609,4.375,0
468,44456,4.25,0
469,44466,4.125,0
470,43731,4.0,0
471,43776,3.875,0
472,43929,3.75,0
473,43884,3.625,0
474,44036,3.5,0
475,43920,3.375,0
476,43975,3.25,0
477,43991,3.125,0
478,43466,3.0,0
479,43191,2.875,0
480,43218,2.75,0
481,43371,2.625,0
482,43357,2.5,0
483,43585,2.375,0
484,43609,2.25,0
485,43493,2.125,0
486,43955,2.0,0
487,43710,1.875,0
488,41897,2.0,2
489,41906,2.125,2
490,43719,2.0,0
491,43819,1.875,0
492,42006,2.0,2
493,41984,2.125,2
494,43797,2.0,0
495,44042,1.875,0
496,42233,2.0,2
497,42110,2.125,2
498,42023,2.25,2
499,42005,2.375,2
500,42029,2.5,2
