neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
243936,242419,1433,240986,1517,25889,0,25889,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:42 CEST 2011,14119,44112,44112.0,0.0,0
542080,539479,4285,535194,2601,75928,0,75928,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:48 CEST 2011,19699,43191,43191.0,0.0,0
465850,463336,3943,459393,2514,64442,0,64442,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:47 CEST 2011,18990,42858,42858.0,0.0,0
243936,242427,1428,240999,1509,25889,0,25889,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:42 CEST 2011,13977,44112,44112.0,0.0,0
542080,539479,4291,535188,2601,75928,0,75928,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:48 CEST 2011,19779,43191,43191.0,0.0,0
286286,285132,1709,283423,1154,43388,0,43388,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:43 CEST 2011,14947,43712,43712.0,0.0,0
230384,229491,1240,228251,893,30653,0,30653,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:41 CEST 2011,12826,42920,42920.0,0.0,0
226149,225215,1261,223954,934,32495,0,32495,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:41 CEST 2011,12228,42920,42920.0,0.0,0
286286,285134,1717,283417,1152,43388,0,43388,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:44 CEST 2011,15118,43712,43712.0,0.0,0
465850,463336,3943,459393,2514,64442,0,64442,Fri Jun 24 19:22:28 CEST 2011,Fri Jun 24 19:22:47 CEST 2011,18950,42858,42858.0,0.0,0
