iteration,cost,penalty,softConstraintViolations
1,40829,0.125,22
2,39444,0.25,24
3,39217,0.375,24
4,39106,0.5,23
5,38876,0.625,23
6,38903,0.75,21
7,39482,0.875,18
8,39900,1.0,15
9,40358,1.125,13
10,40953,1.25,11
11,41249,1.375,9
12,40618,1.5,9
13,40878,1.625,7
14,40590,1.75,6
15,44076,1.875,1
16,44319,1.75,0
17,44186,1.625,0
18,43308,1.75,1
19,43945,1.625,0
20,43707,1.5,0
21,43801,1.375,0
22,43855,1.25,0
23,43963,1.125,0
24,44030,1.0,0
25,43990,0.875,0
26,44101,0.75,0
27,44068,0.625,0
28,44163,0.5,0
29,43964,0.625,1
30,43679,0.75,1
31,43604,0.875,1
32,43604,1.0,1
33,43679,1.125,1
34,44297,1.0,0
35,43599,0.875,0
36,43627,0.75,0
37,43673,0.625,0
38,43635,0.5,0
39,42595,0.625,4
40,41961,0.75,6
41,40885,0.875,7
42,37690,1.0,16
43,38254,1.125,13
44,38400,1.25,12
45,40779,1.375,6
46,40777,1.5,6
47,40976,1.625,6
48,42522,1.75,3
49,42886,1.875,2
50,42747,2.0,2
51,42763,2.125,2
52,42834,2.25,2
53,42818,2.375,2
54,43894,2.5,1
55,44477,2.375,0
56,44232,2.25,0
57,44151,2.125,0
58,44205,2.0,0
59,44215,1.875,0
60,44200,1.75,0
61,44258,1.625,0
62,44301,1.5,0
63,44356,1.375,0
64,44206,1.25,0
65,44433,1.125,0
66,44494,1.0,0
67,42809,1.125,4
68,42879,1.25,4
69,44600,1.125,0
70,44679,1.0,0
71,44462,0.875,0
72,44472,0.75,0
73,43211,0.875,4
74,43131,1.0,4
75,42981,1.125,4
76,43029,1.25,4
77,43119,1.375,4
78,43201,1.5,4
79,42785,1.625,5
80,44552,1.75,1
81,44254,1.875,1
82,43762,2.0,1
83,43762,2.125,1
84,43901,2.25,1
85,43901,2.375,1
86,43971,2.5,1
87,42052,2.625,2
88,42198,2.75,1
89,42059,2.875,1
90,42137,3.0,1
91,42074,3.125,1
92,42397,3.25,1
93,42460,3.375,1
94,42382,3.5,1
95,42521,3.625,1
96,44440,3.5,0
97,43825,3.375,0
98,43681,3.25,0
99,43542,3.125,0
100,43514,3.0,0
101,43543,2.875,0
102,43465,2.75,0
103,43437,2.625,0
104,43571,2.5,0
105,44004,2.375,0
106,43757,2.25,0
107,43400,2.125,0
108,43523,2.0,0
109,43747,1.875,0
110,43684,1.75,0
111,43653,1.625,0
112,43853,1.5,0
113,43714,1.375,0
114,43686,1.25,0
115,43847,1.125,0
116,43784,1.0,0
117,41157,1.125,6
118,40808,1.25,6
119,43694,1.125,0
120,43967,1.0,0
121,44030,0.875,0
122,43960,0.75,0
123,43754,0.625,0
124,43690,0.5,0
125,42403,0.625,5
126,42344,0.75,5
127,43627,0.625,0
128,43765,0.5,0
129,42482,0.625,5
130,42219,0.75,5
131,41271,0.875,6
132,41135,1.0,6
133,41133,1.125,6
134,41228,1.25,6
135,40976,1.375,6
136,40777,1.5,6
137,40779,1.625,6
138,44674,1.5,0
139,44797,1.375,0
140,44837,1.25,0
141,45046,1.125,0
142,44672,1.0,0
143,44887,0.875,0
144,44896,0.75,0
145,44736,0.625,0
146,43584,0.75,4
147,42696,0.875,4
148,41710,1.0,4
149,41742,1.125,4
150,41742,1.25,4
151,41752,1.375,4
152,41861,1.5,4
153,44304,1.375,0
154,44183,1.25,0
155,44173,1.125,0
156,44167,1.0,0
157,41736,1.125,5
158,41736,1.25,5
159,44167,1.125,0
160,44127,1.0,0
161,41684,1.125,5
162,41844,1.25,5
163,41870,1.375,4
164,44313,1.25,0
165,44153,1.125,0
166,44173,1.0,0
167,44479,0.875,0
168,42086,1.0,4
169,41412,1.125,5
170,41790,1.25,4
171,41864,1.375,4
172,41387,1.5,5
173,41286,1.625,5
174,41286,1.75,5
175,41311,1.875,5
176,41487,2.0,4
177,41495,2.125,4
178,44173,2.0,0
179,44292,1.875,0
180,44033,1.75,0
181,44005,1.625,0
182,41327,1.75,4
183,41299,1.875,4
184,41347,2.0,4
185,41355,2.125,4
186,41613,2.25,4
187,44291,2.375,1
188,44780,2.25,0
189,44522,2.125,0
190,44403,2.0,0
191,44161,1.875,0
192,44180,1.75,0
193,44271,1.625,0
194,44252,1.5,0
195,41783,1.625,4
196,41692,1.75,4
197,41711,1.875,4
198,41799,2.0,4
199,41780,2.125,4
200,44249,2.25,1
201,44268,2.375,1
202,44359,2.5,1
203,44340,2.625,1
204,44462,2.75,1
205,44371,2.875,1
206,44390,3.0,1
207,45688,2.875,0
208,45669,2.75,0
209,45760,2.625,0
210,45779,2.5,0
211,44481,2.625,1
212,44736,2.75,1
213,44604,2.875,1
214,44526,2.75,0
215,44401,2.625,0
216,44492,2.5,0
217,44603,2.375,0
218,44484,2.25,0
219,44686,2.125,0
220,44313,2.0,0
221,44296,1.875,0
222,44263,1.75,0
223,44287,1.625,0
224,44251,1.5,0
225,41649,1.625,4
226,41637,1.75,4
227,41388,1.875,4
228,41588,2.0,3
229,41677,2.125,3
230,41778,2.25,3
231,41762,2.375,3
232,41285,2.5,3
233,44305,2.375,0
234,44213,2.25,0
235,44215,2.125,0
236,44401,2.0,0
237,44414,1.875,0
238,43917,1.75,0
239,43975,1.625,0
240,44166,1.5,0
241,43994,1.375,0
242,43975,1.25,0
243,44074,1.125,0
244,44084,1.0,0
245,44109,0.875,0
246,43853,0.75,0
247,43677,0.625,0
248,42221,0.75,3
249,41162,0.875,3
250,41346,1.0,3
251,41229,1.125,4
252,41045,1.25,4
253,41244,1.375,4
254,41361,1.5,4
255,41545,1.625,4
256,41428,1.75,4
257,41794,1.875,4
258,41519,2.0,4
259,41320,2.125,4
260,41437,2.25,3
261,43035,2.375,1
262,42929,2.5,1
263,43919,2.375,0
264,44040,2.25,0
265,43050,2.375,1
266,43900,2.25,0
267,43568,2.125,0
268,43287,2.0,0
269,43148,1.875,0
270,43042,1.75,0
271,43181,1.625,0
272,43293,1.5,0
273,43226,1.375,0
274,42647,1.5,1
275,42485,1.625,1
276,42520,1.75,1
277,42702,1.875,1
278,42977,2.0,1
279,42795,2.125,1
280,42851,2.25,1
281,42956,2.375,1
282,43118,2.5,1
283,43697,2.375,0
284,43592,2.25,0
285,43545,2.125,0
286,43338,2.0,0
287,43217,1.875,0
288,43323,1.75,0
289,43249,1.625,0
290,43355,1.5,0
291,43494,1.375,0
292,43388,1.25,0
293,43444,1.125,0
294,43651,1.0,0
295,43467,0.875,0
296,41369,1.0,5
297,41470,1.125,5
298,43568,1.0,0
299,43471,0.875,0
300,41376,1.0,5
301,40941,1.125,6
302,43036,1.25,1
303,43024,1.375,1
304,43459,1.25,0
305,43560,1.125,0
306,43477,1.0,0
307,42951,1.125,1
308,42945,1.25,1
309,43471,1.125,0
310,43572,1.0,0
311,41477,1.125,5
312,42675,1.25,2
313,42552,1.375,2
314,42614,1.5,2
315,42581,1.625,2
316,42618,1.75,2
317,42697,1.875,2
318,42660,2.0,2
319,42772,2.125,2
320,44380,2.0,0
321,43908,1.875,0
322,43775,1.75,0
323,43790,1.625,0
324,43590,1.5,0
325,42958,1.375,0
326,42958,1.25,0
327,42995,1.125,0
328,42030,1.25,2
329,41993,1.375,2
330,42115,1.5,2
331,43325,1.375,0
332,43325,1.25,0
333,43462,1.125,0
334,43037,1.0,0
335,43037,0.875,0
336,42157,1.0,2
337,42280,1.125,2
338,43160,1.0,0
339,43160,0.875,0
340,42995,0.75,0
341,43128,0.625,0
342,43091,0.5,0
343,43091,0.375,0
344,42126,0.5,2
345,42137,0.625,2
346,42174,0.75,2
347,42163,0.875,2
348,43128,0.75,0
349,43293,0.625,0
350,42413,0.75,2
351,42290,0.875,2
352,42355,1.0,2
353,42469,1.125,2
354,42352,1.25,2
355,42241,1.375,2
356,42277,1.5,2
357,42254,1.625,2
358,43464,1.5,0
359,43464,1.375,0
360,43583,1.25,0
361,43170,1.125,0
362,43170,1.0,0
363,42464,1.125,2
364,42331,1.25,2
365,42454,1.375,2
366,42526,1.5,2
367,42489,1.625,2
368,42622,1.75,2
369,42588,1.875,2
370,43278,1.75,0
371,43278,1.625,0
372,43315,1.5,0
373,43315,1.375,0
374,43448,1.25,0
375,42307,1.375,2
376,42270,1.5,2
377,43411,1.375,0
378,42958,1.25,0
379,42958,1.125,0
380,43302,1.0,0
381,43302,0.875,0
382,42337,1.0,2
383,41993,1.125,2
384,42030,1.25,2
385,42995,1.125,0
386,43339,1.0,0
387,42374,1.125,2
388,42507,1.25,2
389,43472,1.125,0
390,43435,1.0,0
391,42470,1.125,2
392,42541,1.25,2
393,42578,1.375,2
394,43719,1.25,0
395,43682,1.125,0
396,43682,1.0,0
397,43435,0.875,0
398,43091,0.75,0
399,43091,0.625,0
400,42126,0.75,2
401,42137,0.875,2
402,42174,1.0,2
403,42163,1.125,2
404,43128,1.0,0
