neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
560000,556829,4291,552538,3171,80615,0,80615,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:55 CEST 2011,20774,43191,43191.0,0.0,0
289625,287240,1593,285647,2385,44363,0,44363,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:50 CEST 2011,16017,46143,46143.0,0.0,0
252000,250216,1428,248788,1784,27847,0,27847,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:49 CEST 2011,14639,44112,44112.0,0.0,0
560000,556829,4285,552544,3171,80615,0,80615,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:55 CEST 2011,20884,43191,43191.0,0.0,0
244125,242384,1304,241080,1741,35663,0,35663,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:48 CEST 2011,13669,44931,44931.0,0.0,0
244125,242384,1304,241080,1741,35663,0,35663,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:48 CEST 2011,13738,44931,44931.0,0.0,0
560000,556829,4291,552538,3171,80615,0,80615,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:55 CEST 2011,20800,43191,43191.0,0.0,0
252000,250208,1432,248776,1792,27847,0,27847,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:49 CEST 2011,14627,44112,44112.0,0.0,0
502250,499328,3474,495854,2922,74967,0,74967,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:54 CEST 2011,19859,42958,42958.0,0.0,0
295750,294246,1709,292537,1504,45883,0,45883,Fri Jun 24 19:24:34 CEST 2011,Fri Jun 24 19:24:50 CEST 2011,15484,43712,43712.0,0.0,0
