neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
18816,18114,1907,16207,702,6517,0,6517,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1332,44423,44423.0,0.0,0
19264,18532,1881,16651,732,6761,0,6761,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1342,44423,44423.0,0.0,0
35056,33722,3517,30205,1334,12351,0,12351,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1626,44066,44066.0,0.0,0
26488,25468,2871,22597,1020,9380,0,9380,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1480,44686,44686.0,0.0,0
18816,18190,1785,16405,626,6390,0,6390,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1307,44869,44869.0,0.0,0
18816,18114,1913,16201,702,6517,0,6517,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1297,44423,44423.0,0.0,0
15064,14351,1353,12998,713,5184,0,5184,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1189,44438,44438.0,0.0,0
14896,14157,1397,12760,739,5082,0,5082,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:28 CEST 2011,1012,44438,44438.0,0.0,0
14784,14113,1329,12784,671,5060,0,5060,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1168,44438,44438.0,0.0,0
18592,17851,1902,15949,741,6544,0,6544,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1307,44172,44172.0,0.0,0
