neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
415800,413391,3039,410352,2409,58296,0,58296,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:05 CEST 2011,16083,42858,42858.0,0.0,0
210924,209581,1621,207960,1343,31048,0,31048,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:01 CEST 2011,12108,44931,44931.0,0.0,0
214704,213387,1595,211792,1317,32164,0,32164,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:01 CEST 2011,12363,43525,43525.0,0.0,0
483840,481358,3536,477822,2482,68870,0,68870,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:05 CEST 2011,16424,43191,43191.0,0.0,0
217728,216301,1756,214545,1427,23660,0,23660,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:02 CEST 2011,13172,44112,44112.0,0.0,0
210924,209581,1624,207957,1343,31048,0,31048,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:02 CEST 2011,12652,44931,44931.0,0.0,0
250236,248462,2191,246271,1774,38214,0,38214,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:03 CEST 2011,13888,46143,46143.0,0.0,0
278208,276852,2207,274645,1356,41598,0,41598,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:03 CEST 2011,14218,42920,42920.0,0.0,0
210168,209320,1648,207672,848,26348,0,26348,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:01 CEST 2011,12204,43834,43834.0,0.0,0
255528,254404,1936,252468,1124,39442,0,39442,Fri Jun 24 19:21:49 CEST 2011,Fri Jun 24 19:22:03 CEST 2011,13854,43712,43712.0,0.0,0
