neighborhoods,
 SHIFT_ROUND,0,0,0,0,0,0,0,0,Fri Jun 24 19:19:05 CEST 2011,Fri Jun 24 19:19:06 CEST 2011,1203,,,,
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS SWAP_MATCH_ROUND,3515330,3438114,5197,3432917,77216,373503,0,373503,Fri Jun 24 19:19:06 CEST 2011,Fri Jun 24 19:19:27 CEST 2011,21138,42852,42852.0,0.0,0
 TWO_OPT_SWAP_TEAMS SWAP_HOME_VISITOR,200592,192612,19855,172757,7980,69786,0,69786,Fri Jun 24 19:19:27 CEST 2011,Fri Jun 24 19:19:29 CEST 2011,1661,44066,44066.0,0.0,0
 TWO_OPT_SWAP_TEAMS SWAP_MATCH_ROUND SWAP_HOME_VISITOR,2405312,2388900,18241,2370659,16412,333187,0,333187,Fri Jun 24 19:19:29 CEST 2011,Fri Jun 24 19:19:43 CEST 2011,13852,42920,42920.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,770700,753894,4780,749114,16806,192966,0,192966,Fri Jun 24 19:19:43 CEST 2011,Fri Jun 24 19:19:47 CEST 2011,4281,43957,43957.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_TEAMS SWAP_MATCH_ROUND SWAP_HOME_VISITOR,4567500,4475318,7263,4468055,92182,539043,0,539043,Fri Jun 24 19:19:47 CEST 2011,Fri Jun 24 19:20:12 CEST 2011,24442,42407,42407.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS TWO_OPT_SWAP_TEAMS SWAP_HOME_VISITOR,1001742,983723,5845,977878,18019,250322,0,250322,Fri Jun 24 19:20:12 CEST 2011,Fri Jun 24 19:20:17 CEST 2011,5424,43338,43338.0,0.0,0
 TWO_OPT_SWAP_ROUNDS TWO_OPT_SWAP_TEAMS SWAP_HOME_VISITOR,497007,491039,17710,473329,5968,105984,0,105984,Fri Jun 24 19:20:17 CEST 2011,Fri Jun 24 19:20:20 CEST 2011,3246,42920,42920.0,0.0,0
 SWAP_MATCH_ROUND SWAP_HOME_VISITOR,3016440,2988584,19732,2968852,27856,395676,0,395676,Fri Jun 24 19:20:20 CEST 2011,Fri Jun 24 19:20:40 CEST 2011,19821,42434,42434.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS,680862,664439,4619,659820,16423,176845,0,176845,Fri Jun 24 19:20:40 CEST 2011,Fri Jun 24 19:20:44 CEST 2011,3528,46119,46119.0,0.0,0
 SHIFT_ROUND SWAP_HOME_VISITOR,562275,552059,6168,545891,10216,213964,0,213964,Fri Jun 24 19:20:44 CEST 2011,Fri Jun 24 19:20:46 CEST 2011,2629,46535,46535.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS TWO_OPT_SWAP_TEAMS SWAP_MATCH_ROUND,3490298,3413500,5102,3408398,76798,377334,0,377334,Fri Jun 24 19:20:46 CEST 2011,Fri Jun 24 19:21:07 CEST 2011,20354,43039,43039.0,0.0,0
 TWO_OPT_SWAP_ROUNDS SWAP_MATCH_ROUND,3186729,3160961,20332,3140629,25768,424397,0,424397,Fri Jun 24 19:21:07 CEST 2011,Fri Jun 24 19:21:25 CEST 2011,18784,43108,43108.0,0.0,0
 TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,508725,500461,20879,479582,8264,76405,0,76405,Fri Jun 24 19:21:26 CEST 2011,Fri Jun 24 19:21:29 CEST 2011,3855,43187,43187.0,0.0,0
 TWO_OPT_SWAP_TEAMS,0,0,0,0,0,0,0,0,Fri Jun 24 19:21:29 CEST 2011,Fri Jun 24 19:21:30 CEST 2011,613,,,,
 SWAP_MATCH_ROUND,2935296,2913796,17994,2895802,21500,402632,0,402632,Fri Jun 24 19:21:30 CEST 2011,Fri Jun 24 19:21:49 CEST 2011,18814,43783,43783.0,0.0,0
