neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
501354,491417,2725,488692,9937,67076,0,67076,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:56 CEST 2011,27664,43707,43707.0,0.0,0
504252,490102,2443,487659,14150,43237,0,43237,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:58 CEST 2011,29299,44692,44692.0,0.0,0
502320,489597,2715,486882,12723,28844,0,28844,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:58 CEST 2011,29566,45541,45541.0,0.0,0
502320,489597,2715,486882,12723,28844,0,28844,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:58 CEST 2011,29077,45541,45541.0,0.0,0
502320,491176,2577,488599,11144,55700,0,55700,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:57 CEST 2011,28456,43039,43039.0,0.0,0
956340,936655,4942,931713,19685,104752,0,104752,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:17:03 CEST 2011,34279,42736,42736.0,0.0,0
790188,773241,3702,769539,16947,117051,0,117051,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:17:01 CEST 2011,32411,42959,42959.0,0.0,0
503286,490562,2709,487853,12724,28844,0,28844,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:58 CEST 2011,28907,45541,45541.0,0.0,0
503286,490562,2717,487845,12724,28844,0,28844,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:58 CEST 2011,29417,45541,45541.0,0.0,0
503286,490562,2709,487853,12724,28844,0,28844,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:16:58 CEST 2011,29468,45541,45541.0,0.0,0
