neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
261786,254584,1376,253208,7202,14706,0,14706,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:33 CEST 2011,25649,46510,46510.0,0.0,0
260820,254753,1407,253346,6067,14148,0,14148,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:32 CEST 2011,24690,45541,45541.0,0.0,0
297528,290212,1536,288676,7316,25443,0,25443,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:34 CEST 2011,27104,44753,44753.0,0.0,0
261786,255726,1406,254320,6060,14148,0,14148,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:32 CEST 2011,24908,45541,45541.0,0.0,0
261786,254584,1375,253209,7202,14706,0,14706,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:32 CEST 2011,25100,46510,46510.0,0.0,0
285936,279075,1644,277431,6861,28866,0,28866,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:34 CEST 2011,26861,42837,42837.0,0.0,0
653982,641534,3606,637928,12448,95966,0,95966,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:48 CEST 2011,40993,43500,43500.0,0.0,0
297528,290212,1536,288676,7316,25443,0,25443,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:34 CEST 2011,27353,44753,44753.0,0.0,0
369012,361637,1868,359769,7375,43239,0,43239,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:37 CEST 2011,30289,44479,44479.0,0.0,0
261786,254584,1376,253208,7202,14706,0,14706,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:33 CEST 2011,25716,46510,46510.0,0.0,0
