tabulistlen,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,261592,261592,1300,260292,0,50048,0,50048,Fri Jun 24 18:37:19 CEST 2011,Fri Jun 24 18:37:33 CEST 2011,13295,43414,43414.0,0.0,0
10,301875,296595,1531,295064,5279,43154,0,43154,Fri Jun 24 18:37:33 CEST 2011,Fri Jun 24 18:37:52 CEST 2011,19109,43290,43290.0,0.0,0
20,297238,291306,1572,289734,5931,40250,0,40250,Fri Jun 24 18:37:52 CEST 2011,Fri Jun 24 18:38:13 CEST 2011,20461,42837,42837.0,0.0,0
30,392099,383871,1974,381897,8228,55378,0,55378,Fri Jun 24 18:38:13 CEST 2011,Fri Jun 24 18:38:42 CEST 2011,28953,43449,43449.0,0.0,0
40,377512,369561,1935,367626,7951,44305,0,44305,Fri Jun 24 18:38:42 CEST 2011,Fri Jun 24 18:39:07 CEST 2011,25214,42959,42959.0,0.0,0
50,321195,313690,1713,311977,7504,29137,0,29137,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:48 CEST 2011,41148,42837,42837.0,0.0,0
60,333849,326584,1763,324821,7265,36704,0,36704,Fri Jun 24 18:39:48 CEST 2011,Fri Jun 24 18:40:31 CEST 2011,42447,42771,42771.0,0.0,0
70,279270,273035,1465,271570,6235,28232,0,28232,Fri Jun 24 18:40:31 CEST 2011,Fri Jun 24 18:41:01 CEST 2011,29850,43039,43039.0,0.0,0
80,405140,396883,2069,394814,8257,49735,0,49735,Fri Jun 24 18:41:01 CEST 2011,Fri Jun 24 18:41:33 CEST 2011,32122,42771,42771.0,0.0,0
90,392485,383619,2075,381544,8866,44092,0,44092,Fri Jun 24 18:41:33 CEST 2011,Fri Jun 24 18:42:06 CEST 2011,33610,43500,43500.0,0.0,0
100,318876,311746,1667,310079,7130,32702,0,32702,Fri Jun 24 18:42:06 CEST 2011,Fri Jun 24 18:42:36 CEST 2011,29374,42771,42771.0,0.0,0
110,368142,359801,1928,357873,8340,40177,0,40177,Fri Jun 24 18:42:36 CEST 2011,Fri Jun 24 18:43:06 CEST 2011,30536,42736,42736.0,0.0,0
120,415380,406327,2197,404130,9052,49029,0,49029,Fri Jun 24 18:43:06 CEST 2011,Fri Jun 24 18:43:48 CEST 2011,41499,42820,42820.0,0.0,0
130,390264,382230,2047,380183,8034,46450,0,46450,Fri Jun 24 18:43:48 CEST 2011,Fri Jun 24 18:44:28 CEST 2011,40411,42736,42736.0,0.0,0
140,345248,338205,1777,336428,7042,35888,0,35888,Fri Jun 24 18:44:28 CEST 2011,Fri Jun 24 18:44:58 CEST 2011,29095,43449,43449.0,0.0,0
150,382246,373727,2009,371718,8519,39459,0,39459,Fri Jun 24 18:44:58 CEST 2011,Fri Jun 24 18:45:32 CEST 2011,34500,43500,43500.0,0.0,0
160,465418,457273,2392,454881,8145,62812,0,62812,Fri Jun 24 18:45:32 CEST 2011,Fri Jun 24 18:46:16 CEST 2011,43336,42771,42771.0,0.0,0
170,378382,370620,1960,368660,7762,40663,0,40663,Fri Jun 24 18:46:16 CEST 2011,Fri Jun 24 18:46:52 CEST 2011,36231,42771,42771.0,0.0,0
180,409294,401189,2119,399070,8104,49999,0,49999,Fri Jun 24 18:46:52 CEST 2011,Fri Jun 24 18:47:31 CEST 2011,39231,42771,42771.0,0.0,0
190,449866,440796,2334,438462,9070,53596,0,53596,Fri Jun 24 18:47:31 CEST 2011,Fri Jun 24 18:48:16 CEST 2011,44819,42736,42736.0,0.0,0
200,411999,403132,2125,401007,8867,45003,0,45003,Fri Jun 24 18:48:16 CEST 2011,Fri Jun 24 18:48:57 CEST 2011,41307,42736,42736.0,0.0,0
