iteration,cost,penalty,softConstraintViolations
1,41349,0.125,24
2,41141,0.25,24
3,40713,0.375,24
4,40073,0.5,25
5,39849,0.625,24
6,39849,0.75,24
7,39849,0.875,24
8,38848,1.0,26
9,39352,1.125,22
10,41188,1.25,16
11,41188,1.375,16
12,41188,1.5,16
13,41188,1.625,16
14,44542,1.75,10
15,46694,1.875,6
16,48373,2.0,3
17,47727,2.125,3
18,48909,2.25,1
19,48505,2.375,1
20,48176,2.5,1
21,47228,2.625,1
22,46670,2.75,1
23,47132,2.625,0
24,45586,2.75,1
25,45335,2.875,1
26,45197,3.0,1
27,45197,3.125,1
28,45197,3.25,1
29,45197,3.375,1
30,45197,3.5,1
31,45197,3.625,1
32,45197,3.75,1
33,45197,3.875,1
34,45197,4.0,1
35,45197,4.125,1
36,45197,4.25,1
37,45197,4.375,1
38,45197,4.5,1
39,45197,4.625,1
40,45197,4.75,1
41,45197,4.875,1
42,45197,5.0,1
43,45197,5.125,1
44,45197,5.25,1
45,45197,5.375,1
46,45197,5.5,1
47,45197,5.625,1
48,45197,5.75,1
49,45197,5.875,1
50,45197,6.0,1
51,45197,6.125,1
52,45197,6.25,1
53,45197,6.375,1
54,45197,6.5,1
55,45197,6.625,1
56,45197,6.75,1
57,45197,6.875,1
58,45197,7.0,1
59,45197,7.125,1
60,45197,7.25,1
61,45197,7.375,1
62,45197,7.5,1
63,45197,7.625,1
64,45197,7.75,1
65,45197,7.875,1
66,45197,8.0,1
67,45197,8.125,1
68,45197,8.25,1
69,45197,8.375,1
70,45197,8.5,1
71,45197,8.625,1
72,45197,8.75,1
73,45197,8.875,1
74,45197,9.0,1
75,45197,9.125,1
76,45197,9.25,1
77,45197,9.375,1
78,45197,9.5,1
79,45197,9.625,1
80,45197,9.75,1
81,45197,9.875,1
82,45197,10.0,1
83,45197,10.125,1
84,45197,10.25,1
85,45197,10.375,1
86,45197,10.5,1
87,45197,10.625,1
88,45197,10.75,1
89,45197,10.875,1
90,45197,11.0,1
91,47792,10.875,0
92,47640,10.75,0
93,47099,10.625,0
94,46384,10.5,0
95,46096,10.375,0
96,46000,10.25,0
97,46000,10.125,0
98,46000,10.0,0
99,46000,9.875,0
100,46000,9.75,0
101,46000,9.625,0
102,46000,9.5,0
103,46000,9.375,0
104,46000,9.25,0
105,46000,9.125,0
