iteration,cost,penalty,softConstraintViolations
1,51338,0.125,17
2,48063,0.25,18
3,46414,0.375,17
4,45838,0.5,15
5,45331,0.625,15
6,45681,0.75,11
7,45264,0.875,11
8,44991,1.0,10
9,44121,1.125,9
10,44246,1.25,8
11,44966,1.375,6
12,44860,1.5,6
13,44103,1.625,7
14,43831,1.75,7
15,44583,1.875,5
16,45105,2.0,4
17,46796,2.125,1
18,46288,2.25,1
19,46997,2.125,0
20,46666,2.0,0
21,46557,1.875,0
22,45562,1.75,0
23,45256,1.625,0
24,45256,1.5,0
25,45256,1.375,0
26,45256,1.25,0
27,45256,1.125,0
28,45256,1.0,0
29,45256,0.875,0
30,45256,0.75,0
31,45256,0.625,0
32,45256,0.5,0
33,45256,0.375,0
34,45256,0.25,0
35,45256,0.125,0
36,44091,0.25,9
37,43421,0.375,10
38,42665,0.5,13
39,42548,0.625,13
40,42548,0.75,13
41,41754,0.875,13
42,42233,1.0,11
43,42290,1.125,10
44,42407,1.25,9
45,42847,1.375,8
46,42589,1.5,7
47,42589,1.625,6
48,45011,1.75,2
49,44495,1.875,2
50,44355,2.0,2
51,43809,2.125,2
52,43529,2.25,2
53,43529,2.375,2
54,43529,2.5,2
55,43529,2.625,2
56,43529,2.75,2
57,43529,2.875,2
58,43529,3.0,2
59,43529,3.125,2
60,43529,3.25,2
61,43529,3.375,2
62,43529,3.5,2
63,43529,3.625,2
64,43529,3.75,2
65,43529,3.875,2
66,43529,4.0,2
67,46966,3.875,0
68,46371,3.75,0
69,46371,3.625,0
70,46371,3.5,0
71,46371,3.375,0
72,46371,3.25,0
73,46371,3.125,0
74,46371,3.0,0
75,46371,2.875,0
76,46371,2.75,0
77,46371,2.625,0
78,46371,2.5,0
79,46371,2.375,0
80,46371,2.25,0
81,46371,2.125,0
82,45855,2.0,0
83,45581,1.875,0
84,45336,1.75,0
85,44063,1.875,1
86,44648,1.75,0
87,44473,1.625,0
88,44186,1.5,0
89,44117,1.375,0
90,43518,1.5,1
91,43518,1.625,1
92,43518,1.75,1
93,43518,1.875,1
94,43518,2.0,1
95,43518,2.125,1
96,43518,2.25,1
97,43518,2.375,1
98,43518,2.5,1
99,43518,2.625,1
100,43518,2.75,1
101,43518,2.875,1
102,43518,3.0,1
103,43518,3.125,1
104,43518,3.25,1
105,43518,3.375,1
106,43518,3.5,1
107,43518,3.625,1
108,43518,3.75,1
109,43518,3.875,1
110,43518,4.0,1
111,43518,4.125,1
112,43518,4.25,1
113,43518,4.375,1
114,43518,4.5,1
115,43518,4.625,1
116,43518,4.75,1
117,43518,4.875,1
118,43518,5.0,1
119,43518,5.125,1
120,43518,5.25,1
121,43518,5.375,1
122,43518,5.5,1
123,43518,5.625,1
124,43518,5.75,1
125,43518,5.875,1
126,43518,6.0,1
127,43518,6.125,1
128,43518,6.25,1
129,43518,6.375,1
130,43518,6.5,1
131,43518,6.625,1
132,43518,6.75,1
133,43518,6.875,1
134,43518,7.0,1
135,43518,7.125,1
136,43518,7.25,1
137,43518,7.375,1
138,43518,7.5,1
139,43518,7.625,1
140,43518,7.75,1
141,43518,7.875,1
142,43518,8.0,1
143,43518,8.125,1
144,43518,8.25,1
145,43518,8.375,1
146,43518,8.5,1
147,43518,8.625,1
148,43518,8.75,1
149,43518,8.875,1
150,43518,9.0,1
151,43518,9.125,1
152,43518,9.25,1
153,43518,9.375,1
154,43518,9.5,1
155,44117,9.375,0
156,44117,9.25,0
157,44117,9.125,0
158,44117,9.0,0
159,44117,8.875,0
160,44117,8.75,0
161,44117,8.625,0
162,44117,8.5,0
163,44117,8.375,0
164,44117,8.25,0
165,44117,8.125,0
166,44117,8.0,0
167,44117,7.875,0
168,44117,7.75,0
169,44117,7.625,0
170,44117,7.5,0
171,44117,7.375,0
172,44117,7.25,0
173,44117,7.125,0
174,44117,7.0,0
175,44117,6.875,0
176,44117,6.75,0
177,44117,6.625,0
178,44117,6.5,0
179,44117,6.375,0
180,44117,6.25,0
181,44117,6.125,0
182,44117,6.0,0
183,44117,5.875,0
184,44117,5.75,0
185,44117,5.625,0
186,44117,5.5,0
187,44117,5.375,0
188,44117,5.25,0
189,44117,5.125,0
190,44117,5.0,0
191,44117,4.875,0
192,44117,4.75,0
193,44117,4.625,0
194,44117,4.5,0
195,44117,4.375,0
196,44117,4.25,0
197,44117,4.125,0
198,44117,4.0,0
199,44117,3.875,0
200,44117,3.75,0
201,44117,3.625,0
202,44117,3.5,0
203,44117,3.375,0
204,44117,3.25,0
205,44117,3.125,0
206,44117,3.0,0
207,44117,2.875,0
208,44117,2.75,0
209,44117,2.625,0
210,44117,2.5,0
211,44117,2.375,0
212,44117,2.25,0
213,44117,2.125,0
214,44117,2.0,0
215,44117,1.875,0
216,44117,1.75,0
217,44117,1.625,0
218,44117,1.5,0
219,44117,1.375,0
220,43518,1.5,1
221,43518,1.625,1
222,43518,1.75,1
223,43518,1.875,1
224,43518,2.0,1
225,43518,2.125,1
226,43518,2.25,1
227,43518,2.375,1
228,43518,2.5,1
229,43518,2.625,1
230,43518,2.75,1
231,43518,2.875,1
232,43518,3.0,1
233,43518,3.125,1
234,43518,3.25,1
235,43518,3.375,1
236,43518,3.5,1
237,43518,3.625,1
238,43518,3.75,1
239,43518,3.875,1
240,43518,4.0,1
241,43518,4.125,1
242,43518,4.25,1
243,43518,4.375,1
244,43518,4.5,1
245,43518,4.625,1
246,43518,4.75,1
247,43518,4.875,1
248,43518,5.0,1
249,43518,5.125,1
250,43518,5.25,1
251,43518,5.375,1
252,43518,5.5,1
253,43518,5.625,1
254,43518,5.75,1
255,43518,5.875,1
256,43518,6.0,1
257,43518,6.125,1
258,43518,6.25,1
259,43518,6.375,1
260,43518,6.5,1
261,43518,6.625,1
262,43518,6.75,1
263,43518,6.875,1
264,43518,7.0,1
265,43518,7.125,1
266,43518,7.25,1
267,43518,7.375,1
268,43518,7.5,1
269,43518,7.625,1
270,43518,7.75,1
271,43518,7.875,1
272,43518,8.0,1
273,43518,8.125,1
274,43518,8.25,1
275,43518,8.375,1
276,43518,8.5,1
277,43518,8.625,1
278,43518,8.75,1
279,43518,8.875,1
280,43518,9.0,1
281,43518,9.125,1
282,43518,9.25,1
283,43518,9.375,1
284,43518,9.5,1
285,44117,9.375,0
286,44117,9.25,0
287,44117,9.125,0
288,44117,9.0,0
289,44117,8.875,0
290,44117,8.75,0
291,44117,8.625,0
292,44117,8.5,0
293,44117,8.375,0
294,44117,8.25,0
295,44117,8.125,0
296,44117,8.0,0
297,44117,7.875,0
298,44117,7.75,0
299,44117,7.625,0
300,44117,7.5,0
301,44117,7.375,0
302,44117,7.25,0
303,44117,7.125,0
304,44117,7.0,0
305,44117,6.875,0
306,44117,6.75,0
307,44117,6.625,0
308,44117,6.5,0
309,44117,6.375,0
310,44117,6.25,0
311,44117,6.125,0
312,44117,6.0,0
313,44117,5.875,0
314,44117,5.75,0
315,44117,5.625,0
316,44117,5.5,0
317,44117,5.375,0
318,44117,5.25,0
319,44117,5.125,0
320,44117,5.0,0
321,44117,4.875,0
322,44117,4.75,0
323,44117,4.625,0
324,44117,4.5,0
325,44117,4.375,0
326,44117,4.25,0
327,44117,4.125,0
328,44117,4.0,0
329,44117,3.875,0
330,44117,3.75,0
331,44117,3.625,0
332,44117,3.5,0
333,44117,3.375,0
334,44117,3.25,0
335,44117,3.125,0
336,44117,3.0,0
337,44117,2.875,0
338,44117,2.75,0
