neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1189475,1181162,3289,1177873,8313,65130,0,65130,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299993,68057,68057.0,0.0,0
1228117,1216699,3417,1213282,11418,67877,0,67877,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299955,65977,65977.0,0.0,0
1229661,1217052,3698,1213354,12609,74057,0,74057,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299936,68694,68694.0,0.0,0
1212864,1200344,3643,1196701,12520,78367,0,78367,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299881,69453,69453.0,0.0,0
985932,979774,2726,977048,6158,45470,0,45470,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:50 CEST 2011,267797,70094,70094.0,0.0,0
1064880,1059724,2539,1057185,5156,117699,0,117699,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:01 CEST 2011,278182,64814,64814.0,0.0,0
1064880,1059724,2539,1057185,5156,117699,0,117699,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:55 CEST 2011,272385,64814,64814.0,0.0,0
1216836,1205135,3495,1201640,11701,70718,0,70718,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299845,66134,66134.0,0.0,0
1064880,1054597,2908,1051689,10283,65146,0,65146,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:07 CEST 2011,283479,69312,69312.0,0.0,0
1178167,1166081,3574,1162507,12086,69698,0,69698,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299464,68694,68694.0,0.0,0
969408,958396,2858,955538,11012,53999,0,53999,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:49 CEST 2011,266349,71069,71069.0,0.0,0
1118124,1107663,3214,1104449,10461,60051,0,60051,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:12 CEST 2011,289483,68728,68728.0,0.0,0
1072224,1064660,3041,1061619,7564,64093,0,64093,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:09 CEST 2011,285987,65726,65726.0,0.0,0
1183844,1168677,3125,1165552,15167,64034,0,64034,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299541,66427,66427.0,0.0,0
962064,952814,2544,950270,9250,63225,0,63225,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:36 CEST 2011,253473,68922,68922.0,0.0,0
962064,952814,2544,950270,9250,63225,0,63225,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:41 CEST 2011,257871,68922,68922.0,0.0,0
1002456,990929,2941,987988,11527,72160,0,72160,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:59 CEST 2011,275536,72875,72875.0,0.0,0
1086912,1075596,2928,1072668,11316,76308,0,76308,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:10 CEST 2011,287210,69194,69194.0,0.0,0
1208635,1197546,3348,1194198,11089,73520,0,73520,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299490,68168,68168.0,0.0,0
1039176,1030056,2807,1027249,9120,63254,0,63254,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:03 CEST 2011,280313,65707,65707.0,0.0,0
1188351,1177461,3320,1174141,10890,69496,0,69496,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299402,67647,67647.0,0.0,0
1063044,1052762,2876,1049886,10282,65165,0,65165,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:05 CEST 2011,281510,69312,69312.0,0.0,0
1181071,1169179,3279,1165900,11892,66742,0,66742,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299391,66516,66516.0,0.0,0
1172710,1157973,3175,1154798,14737,62117,0,62117,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299402,67177,67177.0,0.0,0
1179181,1167698,2967,1164731,11483,73690,0,73690,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299670,62856,62856.0,0.0,0
1066716,1055908,2880,1053028,10808,73130,0,73130,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:05 CEST 2011,282615,71398,71398.0,0.0,0
973080,961778,2583,959195,11302,50378,0,50378,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:30:46 CEST 2011,263100,68833,68833.0,0.0,0
1160252,1145762,3144,1142618,14490,61023,0,61023,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299682,67177,67177.0,0.0,0
1148589,1135629,3023,1132606,12960,58126,0,58126,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299696,71610,71610.0,0.0,0
1222883,1211168,3530,1207638,11715,71437,0,71437,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299694,66134,66134.0,0.0,0
1064880,1054073,2847,1051226,10807,73130,0,73130,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:03 CEST 2011,280400,71398,71398.0,0.0,0
1167233,1156852,3291,1153561,10381,87939,0,87939,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299697,70824,70824.0,0.0,0
965736,955505,2634,952871,10231,54613,0,54613,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:01 CEST 2011,277828,66926,66926.0,0.0,0
1163336,1153191,3262,1149929,10145,58799,0,58799,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299783,68662,68662.0,0.0,0
1162230,1146163,3241,1142922,16067,63109,0,63109,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,299722,68912,68912.0,0.0,0
