iteration,cost,penalty,softConstraintViolations
1,108452,0.125,102
2,104192,0.25,102
3,103077,0.375,102
4,104396,0.5,92
5,106432,0.625,82
6,108993,0.75,72
7,123454,0.875,44
8,141818,1.0,16
9,139997,1.125,13
10,140167,1.25,8
11,141699,1.375,5
12,145107,1.5,1
13,145132,1.375,0
14,143801,1.25,0
15,142188,1.125,0
16,138764,1.25,1
17,137863,1.375,1
18,137287,1.5,1
19,138650,1.375,0
20,138195,1.25,0
21,138078,1.125,0
22,136384,1.25,1
23,136384,1.375,1
24,138078,1.25,0
25,138035,1.125,0
26,137273,1.0,0
27,137273,0.875,0
28,135928,1.0,1
29,136674,0.875,0
30,136271,0.75,0
31,135692,0.625,0
32,135147,0.5,0
33,135064,0.375,0
34,134733,0.25,0
35,133356,0.375,3
36,133444,0.5,2
37,133712,0.625,1
38,133596,0.75,1
39,133593,0.875,1
40,134153,0.75,0
41,133732,0.625,0
42,132591,0.75,1
43,132503,0.875,1
44,133413,0.75,0
45,133099,0.625,0
46,131244,0.75,2
47,132871,0.625,0
48,132235,0.5,0
49,130406,0.625,2
50,130297,0.75,2
51,132126,0.625,0
52,132091,0.5,0
53,130262,0.625,2
54,130253,0.75,2
55,132082,0.625,0
56,131989,0.5,0
57,130160,0.625,2
58,130160,0.75,2
59,131989,0.625,0
60,131989,0.5,0
61,130160,0.625,2
62,130160,0.75,2
63,131989,0.625,0
64,131989,0.5,0
65,131989,0.375,0
66,131989,0.25,0
67,131989,0.125,0
68,131989,0.0,0
69,131989,0.0,0
70,131989,0.0,0
71,131989,0.0,0
72,129762,0.125,17
73,128055,0.25,17
74,126080,0.375,19
75,128346,0.5,9
76,129794,0.625,5
77,129794,0.75,4
78,130005,0.875,3
79,131731,1.0,1
80,131233,1.125,1
81,131153,1.25,1
82,131040,1.375,1
83,131040,1.5,1
84,131040,1.625,1
85,131040,1.75,1
86,131040,1.875,1
87,131040,2.0,1
88,131040,2.125,1
89,131040,2.25,1
90,131040,2.375,1
91,131040,2.5,1
92,131040,2.625,1
93,131040,2.75,1
94,131040,2.875,1
95,131040,3.0,1
96,131040,3.125,1
97,131040,3.25,1
