run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,45162,38101,1977,36124,7061,22520,0,22520,Sat Jun 25 20:37:11 CEST 2011,Sat Jun 25 20:37:17 CEST 2011,5297,8276,8276.0,0.0,0
2,45159,38102,1976,36126,7057,22524,0,22524,Sat Jun 25 20:37:17 CEST 2011,Sat Jun 25 20:37:22 CEST 2011,4295,8276,8276.0,0.0,0
3,45162,38101,1977,36124,7060,22521,0,22521,Sat Jun 25 20:37:22 CEST 2011,Sat Jun 25 20:37:26 CEST 2011,4493,8276,8276.0,0.0,0
4,45166,38107,1977,36130,7058,22526,0,22526,Sat Jun 25 20:37:26 CEST 2011,Sat Jun 25 20:37:31 CEST 2011,4155,8276,8276.0,0.0,0
5,45153,38093,1976,36117,7059,22516,0,22516,Sat Jun 25 20:37:31 CEST 2011,Sat Jun 25 20:37:35 CEST 2011,4435,8276,8276.0,0.0,0
6,45150,38092,1976,36116,7058,22516,0,22516,Sat Jun 25 20:37:35 CEST 2011,Sat Jun 25 20:37:40 CEST 2011,4559,8276,8276.0,0.0,0
7,45157,38099,1976,36123,7058,22521,0,22521,Sat Jun 25 20:37:40 CEST 2011,Sat Jun 25 20:37:45 CEST 2011,4641,8276,8276.0,0.0,0
8,45166,38106,1977,36129,7060,22524,0,22524,Sat Jun 25 20:37:45 CEST 2011,Sat Jun 25 20:37:49 CEST 2011,4326,8276,8276.0,0.0,0
9,45150,38093,1976,36117,7057,22518,0,22518,Sat Jun 25 20:37:49 CEST 2011,Sat Jun 25 20:37:54 CEST 2011,4498,8276,8276.0,0.0,0
10,45155,38096,1976,36120,7058,22519,0,22519,Sat Jun 25 20:37:54 CEST 2011,Sat Jun 25 20:37:59 CEST 2011,4706,8276,8276.0,0.0,0
